@relation ThresholdCurve

@attribute Instance_number numeric
@attribute 'True Positives' numeric
@attribute 'False Negatives' numeric
@attribute 'False Positives' numeric
@attribute 'True Negatives' numeric
@attribute 'False Positive Rate' numeric
@attribute 'True Positive Rate' numeric
@attribute Precision numeric
@attribute Recall numeric
@attribute Fallout numeric
@attribute FMeasure numeric
@attribute 'Sample Size' numeric
@attribute Lift numeric
@attribute Threshold numeric

@data
195,10,2,651,193,0.771327,0.833333,0.015129,0.833333,0.984871,0.029718,0.772196,1.079173,0
196,10,2,650,194,0.770142,0.833333,0.015152,0.833333,0.984848,0.029762,0.771028,1.080808,0
197,10,2,649,195,0.768957,0.833333,0.015175,0.833333,0.984825,0.029806,0.76986,1.082448,0
198,10,2,648,196,0.767773,0.833333,0.015198,0.833333,0.984802,0.029851,0.768692,1.084093,0
199,10,2,647,197,0.766588,0.833333,0.015221,0.833333,0.984779,0.029895,0.767523,1.085743,0
200,9,3,647,197,0.766588,0.75,0.01372,0.75,0.98628,0.026946,0.766355,0.978659,0
201,9,3,646,198,0.765403,0.75,0.01374,0.75,0.98626,0.026987,0.765187,0.980153,0
202,9,3,645,199,0.764218,0.75,0.013761,0.75,0.986239,0.027027,0.764019,0.981651,0
203,9,3,644,200,0.763033,0.75,0.013783,0.75,0.986217,0.027068,0.76285,0.983155,0
204,9,3,643,201,0.761848,0.75,0.013804,0.75,0.986196,0.027108,0.761682,0.984663,0
205,9,3,642,202,0.760664,0.75,0.013825,0.75,0.986175,0.027149,0.760514,0.986175,0
206,9,3,641,203,0.759479,0.75,0.013846,0.75,0.986154,0.02719,0.759346,0.987692,0
207,9,3,640,204,0.758294,0.75,0.013867,0.75,0.986133,0.027231,0.758178,0.989214,0
208,9,3,639,205,0.757109,0.75,0.013889,0.75,0.986111,0.027273,0.757009,0.990741,0
209,9,3,638,206,0.755924,0.75,0.01391,0.75,0.98609,0.027314,0.755841,0.992272,0
